;Temperatura;;Pressão;;Volume;
{ temperatura:;7,2;, pressao:;14;, volume:;2,5;},
{ temperatura:;7,7;, pressao:;14;, volume:;2,5;},
{ temperatura:;8,3;, pressao:;14;, volume:;2,4;},
{ temperatura:;8,8;, pressao:;14;, volume:;2,4;},
{ temperatura:;9,4;, pressao:;14;, volume:;2,4;},
{ temperatura:;10;, pressao:;14;, volume:;2,3;},
{ temperatura:;10,5;, pressao:;14;, volume:;2,3;},
{ temperatura:;11,1;, pressao:;14;, volume:;2,2;},
{ temperatura:;11,6;, pressao:;14;, volume:;2,2;},
{ temperatura:;12,2;, pressao:;14;, volume:;2,2;},
{ temperatura:;12,7;, pressao:;14;, volume:;2,1;},
{ temperatura:;13,3;, pressao:;14;, volume:;2,1;},
{ temperatura:;13,8;, pressao:;14;, volume:;2;},
{ temperatura:;14,4;, pressao:;14;, volume:;2;},
{ temperatura:;15;, pressao:;14;, volume:;2;},
{ temperatura:;15,5;, pressao:;14;, volume:;1,9;},
{ temperatura:;16,1;, pressao:;14;, volume:;1,9;},
{ temperatura:;16,6;, pressao:;14;, volume:;1,9;},
{ temperatura:;17,2;, pressao:;14;, volume:;1,8;},
{ temperatura:;17,7;, pressao:;14;, volume:;1,8;},
{ temperatura:;18,3;, pressao:;14;, volume:;1,8;},
{ temperatura:;18,8;, pressao:;14;, volume:;1,8;},
{ temperatura:;19,4;, pressao:;14;, volume:;1,7;},
{ temperatura:;20;, pressao:;14;, volume:;1,7;},
{ temperatura:;20,5;, pressao:;14;, volume:;1,6;},
{ temperatura:;21,1;, pressao:;14;, volume:;1,6;},
{ temperatura:;21,6;, pressao:;14;, volume:;1,6;},
